id	title	title_source	types	aat_types	matches	lon	lat	parent_name	start	end
AXN_357	A[ ]ani	RGTC-8							-0625	-0350
AXT_358	A[ ]tu	RGTC-8							-0625	-0350
AGR_308	Agurētti	RGTC-8						URUK	-0625	-0350
_243	Allallu 	RGTC-7/3							-0625	-0350
ASXX_354	Àlu-ša-[ ]	RGTC-8							-0625	-0350
ASUM_352	Àlu-ša-{lú}U.MEK{me}	RGTC-8							-0625	-0350
ASAD_340	Àlu-ša-Admu	RGTC-8							-0625	-0350
ASAM_341	Àlu-ša-Amassu-uṣur	RGTC-8							-0625	-0350
ASAN_342	Àlu-ša-Anu-aḫa-ereš	RGTC-8	Settlement	300008347					-0625	-0350
ASAS_208	Àlu-ša-aškāpē	RGTC-8							-0625	-0350
ASAT_343	Àlu-ša-Atkal-Bēl	RGTC-8							-0625	-0350
ASBZ_344	Àlu-ša-Bēl-ušēzib	RGTC-8							-0625	-0350
ASBU_186	Àlu-ša-Bēlti-ša-Uruk	RGTC-8						URUK	-0625	-0350
ASIK_204	Àlu-ša-ikkarē	RGTC-8						URUK	-0625	-0350
ASID_345	Àlu-ša-Izkur-dān	RGTC-8							-0625	-0350
ASJQ_346	Àlu-ša-Jaqi'-il	RGTC-8							-0625	-0350
ASKN_347	Àlu-ša-Kī-Nabû	RGTC-8							-0625	-0350
ASKZ_209	Àlu-ša-kizû	RGTC-8							-0625	-0350
ASLN_348	Àlu-ša-Lanē	RGTC-8							-0625	-0350
ASMS_349	Àlu-ša-mār-šarri	RGTC-8							-0625	-0350
ASNB_299	Àlu-ša-Nabû-bān-aḫi	RGTC-8							-0625	-0350
ASNS_350	Àlu-ša-Nabû-šuma-iddina	RGTC-8							-0625	-0350
ASSS_203	Àlu-ša-šasi'ūa	RGTC-8						URUK	-0625	-0350
ASNN_122	Ālu-ša-Šunanē	Zadok 2020							-0625	-0350
ASTS_351	Àlu-ša-tašlīšāni	RGTC-8							-0625	-0350
AMN_146	Amanu	RGTC-8							-0625	-0350
_153	Amattu 	RGTC-7/3							-0625	-0350
AMT_241	Amatu	RGTC-8							-0625	-0350
ANG_309	Angillu	RGTC-8						URUK	-0625	-0350
_123	Apak 	RGTC-7/3							-0625	-0350
APM_339	Apramātu	RGTC-8							-0625	-0350
ASX_353	Ašat […]	RGTC-8							-0625	-0350
AST_296	Aššurītu	RGTC-8							-0625	-0350
_327	Aššūrītu-ša-Bulluṭâ	Zadok 2020							-0625	-0350
ATR_356	Atera [ ]	RGTC-8							-0625	-0350
ATK_355	Attiki'a	RGTC-8							-0625	-0350
BALI_240	Bāb-āli	RGTC-8							-0625	-0350
BASS_191	Bāb-Aššurītu	RGTC-8							-0625	-0350
