site_id	title	variant _Akkadian	type	sub_type	title_source	t_s_pages	Location Notes	Probability	variant_Persian	variant_Aramaic	variant_Modern	Image(s)	Notes	start	LOC - 1	LOC-1 Probability	LOC - 2	LOC - 3	LOC - 4	LOC - 5	ccode	CDLI	Pleiades
	Ḫarrāti	various			RGTC-8	154	Near URUK						Facing ALT 1; Divided by ALT 2; Bordered to W. by ALT 3 & to N. by ALT 4 ; In ALT 5	-800	DUG		NHLT	HRT	NTKK	BAMK	IQ		
DSGD	Dūru-ša-Gidānu	BAD ša gi-da-nu			RGTC-8	126	URUK Region						Right Bank of ALT 1 Not far from ALT 2 & ALT 3; Possibly in ALT 4	-800	NNSR		NHN	SNP	BAMK		IQ		
HMAI	Ḫarru-ša-Marduk-apla-iddina	{i7}ḫar-ri šā {md}AMAR.UTU-DUMU.UŠ-MU; {i7}ḫar-ri [šā] [{md}AMAR.UTU-DUM}U.UŠ-SUM{na}	Water		RGTC-8	357	URUK Region						Near ALT 1 and ALT 2 and (maybe) ALT 3; Cf. ALT 4	-800	BZGB		EUP	HNSL (Nar-)	BHMI		IQ		
SNP	Šanāpu	various			RGTC-8	286	North of URUK						In ALT 1; RIght Bank of ALT 2; Between  ALT 3 & ALT 4	-800	BDKR		NNRS	BRT	Bīt-Nabû-bān-aḫi		IQ		
THRS	Til-Ḫurāṣi	{various}DU-KU.GI			RGTC-8	310	URUK Region						"S. part of ALT 1, not far from ALT 2 and ALT 3; On ALT 4RGTC-8 p384)"	-800	BDKR		NSB	NNAS	EUP		IQ		
LBJ	Labaṣi-ša-Bīt-Ja[ ]	{uru}la-ab-ṣi ša E-{m}ia-[x]-[...]			RGTC-8	206	***						"In ALT 1, near ALT 2; by ALT 3"	-800	BDKR		BNUR	EUP	HSI		IQ		
BNUR	Bīt-Nūrea	E-{m}ZALAG-e-a; A.ŠA E-{m}ZALAG-e-[a]			RGTC-8	99	***						"In ALT 1, near ALT 2, ALT 3, and ALT 4"	-800	BDKR		LBJ	EUP	NHSI		IQ		
NSRP	Surappu	{íd}su-rap-pi;{íd}su-ra-pi; {íd}su-rap-pi	Water		RGTC-7/3	758-759							"Next to ALT 1 & ALT 2, Connected to ALT 3 & ALT 4"	-800	GMB		PQD	TIG	UQNU		IQ		
BREE	Bīt-Rē'ê	{uru}E-{lu}SIPA{me}			RGTC-8	102	Not far from URUK	Perhaps					Connected to ALT 1 by WATER; Cf.  ALT 2 in ALT 3	-800	AMN		BREE	BAMK			IQ		
TDQL	Til-Daqalu	DU6-{garim}da-qa-lu4			RGTC-8	309	Mentioned in URUK Text						Mentioned with ALT 1 & ALT 2; Connected to ALT 3; Perhaps ID to Daqala	-800	HDD		TUT	BAMK			IQ		
HSSG	Ḫarru-ša-Šaggē	{i7}ḫar-ri ša {m}šag-ge-e	Water		RGTC-8	358	North of URUK						Flowed in ALT 1 and ALT 2 in ALT 3	-800	BIB	Possible	DSBR	BDKR			IQ		
NSUM	Nār-Sumandar	various	Water		RGTC-8	382-383	***						"Flows from Alt 1 and Alt 2, poss. ALT 3"	-800	BAB	Possible	SIP	BOR			IQ		
BNAB	Bīt-Nabû	{uru}E-{d}AG; {garim}E-{d}AG;			RGTC-8	96	URUK Region						Left Bank of ALT 1; Not far from ALT 2 and ALT 3	-800	NNSR		NNAS	BSMI			IQ		
GMB	Gambūlu	{kur}gam-bu-li/lu; others	Region		RGTC-7/3	221-224							"In ALT 1, On ALT 2, Borders ALT 3"	-800	BAB		NSRP	ELM			IQ		
ZAM	Zamē	{uru}za-a-me-e			RGTC-8; RGTC-7/3	333; 616	URUK Region	Possible					"Multiple Iterations; named for tribal region near ALT 1, Near ALT 2, on ALT 3"	-800	BAB		PQD	EUP			IQ		
NHRK	Ḫarri-kibbi	{i7}ḫar-ri-ki-ib-bi; {i7}ḫar-ri-kib-bi/bu	Water		RGTC-8	351	URUK Region	Possible					Parallel or North of ALT 1; not far from ALT 2 & ALT 3	-800	NTKK	Possible	NNPQ	EUP			IQ		
KLD	Kaldu (Chaldea)	various	Region	Province	RGTC-7/3	314-317							"Includes ALT 1, ALT 2, on ALT 3"	-800	BAWK		BDKR	GUL			IQ		
NBIN	Nār-bīnī	ÍD {giš}bi-i-ni:	Water		Ermidoro	151	URUK Region						"In District ALT 1, plot connection to ALT 2, Text from ALT 3"	-800	Bēltu ša Uruk		NTKK	Harru-ša- Lâbâši			IQ		
SUM	Sumandar	check RGTC-8			RGTC-8	275	URUK Region						"Extends from Border of ALT 1 & ALT 2, to ALT 3"	-800	THS		AST	HDU			IQ		
HLT	Ḫiltu	check RGTC-8			RGTC-8	160	Near URUK						"Possibly A.K.A. Madbūḫiya; In ALT 1; Cf. Alt 2, ALT 3"	-800	BAMK	Possible	BHLT	HLT			IQ		
NHRS	Ḫarīṣu	various	Water		RGTC-8	349-350	URUK Region						"Multiple Iterations: Near ""Ninurta Temple""; Near ALT 1; In ALT 2; In ALT 3"	-800	SIP	Probable	DLB	HLT			IQ		
HNSL	Ḫarru-ša-Nabû-šuma-līšir	{i7}ḫar-ri ša {md}AG-MU-GIŠ; KA-{i7}ḫar-ri ša {md}AG-MU-GIŠ	Water		RGTC-8	357	URUK Region						"Near ALT 1, ALT 2, and ALT 3"	-800	BZGB		EUP	HMAI			IQ		
ASNN	Ālu-ša-Šunanē				Zadok 2020		***						"AKA Ālu-ša-Qatnānē; Near ALT 1, ALT 2"	-800	SEA		SQL	KLB			IQ		
	Apak 	{uru}a-pa-ak			RGTC-7/3	45	***						"In ALT 1, Probably West of ALT 2, Near ALT 3"	-800	BDKR		Marad	Malilatu			IQ		
DSBD	Dūru-ša-Bīt-Dakūri	various			RGTC-8	126	North of URUK						In ALT 1; Not far from ALT 2 & ALT 3	-800	BDKR		NNRS	NBSL			IQ		
HSAA	Ḫarru-ša-abul-dAdad	ÍD ḫa-ri šá abul {d}IM	Water		Ermidoro	142	In/Around URUK						"Connected to ALT 1, ALT 2, ALT 3, others"	-800	HSNN		NNRS	NELP			IQ		
	Nār-Šapputtu	{uru}/{uru.I7}šap-pu-ut-tu4	Water		RGTC-8	384	Not far from URUK						Multiple Iterations; In ALT 1; In ALT 2 & ALT 3	-800	SUM		KNRT	NIP			IQ		
NNSR	Nār-Šarri	I7-LUGAL; others	Water		RGTC-8	384-385	Flows to URUK						"Multiple Iterations, Attested near ALT 1, ALT 2 w/ IDIGLAT & ALT 3"	-800	BAB		SIP	NIP			IQ		
	Sapīja	{uru}sa-pi-a/e/ia' {uru}šá-pi-ia			RGTC-7/3	504	East of URUK						In ALT 1; North of ALT 2; South of ALT 3	-800	BAMK		URI	NIP			IQ		
NZR	Nazzû-rabû	naz-zu-u GAL{u}			RGTC-8	236	Near URUK						In ALT 1; Cf. Cf. ALT 2 & ALT 3	-800	BAMK	Possible	NZQ	NMZ			IQ		
NZQ	Nazzû-qallu	naz-zu-u qal-la			RGTC-8	236	Near URUK						In ALT 1; Cf. ALT 2 & ALT 3	-800	BAMK	Possible	NMZ	NZR			IQ		
NMZ	Namzû	{garim}nam-zu-u			RGTC-8	234	East of URUK						East bank of ALT 1; Could be ID to ALT 2 & ALT 3	-800	NNSR		NZQ	NZR			IQ		
	Serrēmu	{garim}ANŠE.EDEN.NA; ANŠE.EDEN.NA			RGTC-8	266	URUK Region						On ALT 1 & ALT 2; Near ALT 3	-800	NHRK		NTKK	RAT			IQ		
	Šaṭeru	{uru}ša-at-SUM{na}; {uru}ša-NIN-SUM{na}			RGTC-8	290-291	North of URUK						Left Bank of ALT 1; In ALT 2; Connected w/ ALT 3; Cf. Karkara	-800	NNSR	Possible	BAMK	NHRK			IQ		
BSMI	Bīt-Šama'-il	{uru}E-{m}ša-ma-'-il			RGTC-8	104-105	URUK Region						"On ALT 1, between ALT 2 & ALT 3"	-800	NNSR	Probable	NHL	NHSI			IQ		
NNSB	Nāru-ša-Silim-Bēl	I7 ša si-lim-{d}EN GU {i7} tak-ki-ri/tak-kir	Water		RGTC-8	393	URUK Region						Tributary of ALT 1; Parallel to ALT 2 and ALT 3	-800	NTKK		NBBE	NNLS			IQ		
